graphene-C294H421     AIE: 9.549255030708 eV
graphene-C294H4210    AIE: 9.547109637809 eV
graphene-C294H4211    AIE: 9.545806007010 eV
graphene-C294H422     AIE: 9.560438587095 eV
graphene-C294H423     AIE: 9.552166781776 eV
graphene-C294H424     AIE: 9.550417395048 eV
graphene-C294H425     AIE: 9.553429375688 eV
graphene-C294H426     AIE: 9.568853106330 eV
graphene-C294H427     AIE: 9.588469136958 eV
graphene-C294H428     AIE: 9.563473854871 eV
graphene-C294H429     AIE: 9.559246845138 eV
