graphene-C294H421     AIE: 9.549250303843 eV
graphene-C294H4210    AIE: 9.547109674436 eV
graphene-C294H4211    AIE: 9.549257916232 eV
graphene-C294H422     AIE: 9.560392439119 eV
graphene-C294H423     AIE: 9.552086560419 eV
graphene-C294H424     AIE: 9.550417255725 eV
graphene-C294H425     AIE: 9.553421570017 eV
graphene-C294H426     AIE: 9.568846227560 eV
graphene-C294H427     AIE: 9.588577216203 eV
graphene-C294H428     AIE: 9.563474574749 eV
graphene-C294H429     AIE: 9.552529321326 eV
